scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG9,6550001,6600000,6573668,3276,1807,8.9537,7.2037,0.1083,0.0071,0.0053
LG9,6600001,6650000,6625268,3432,1794,36.3487,25.9862,0.1662,0.0342,0.0267
LG9,6650001,6700000,6674166,3693,1847,26.965,23.29,0.0731,0.0109,0.0094
LG9,6700001,6750000,6724655,3842,1888,11.5663,16.1538,-0.1655,-0.0105,-0.0096
LG9,6750001,6800000,6775638,3300,1796,14.2863,20.4237,-0.1768,-0.019,-0.0163
LG9,6800001,6850000,6824675,2997,1552,4.9612,4.0362,0.1028,0.0053,0.0044
LG9,6850001,6900000,6872970,3025,1599,5.5025,7.59,-0.1594,-0.0084,-0.0075
LG9,6900001,6950000,6925340,3510,1843,24.16,17.46,0.161,0.0232,0.0188
LG9,6950001,7000000,6975803,2832,1532,12.61,10.1475,0.1082,0.0111,0.01
LG9,7000001,7050000,7025705,3345,1824,9.9312,12.4063,-0.1108,-0.0083,-0.0072
LG9,7050001,7100000,7074423,2052,1085,14.9288,5.0163,0.497,0.055,0.0476
LG9,7100001,7150000,7123875,3443,1758,14.9512,14.5137,0.0148,0.0016,0.0014
LG9,7150001,7200000,7175197,3352,1756,24.3588,21.1088,0.0715,0.0117,0.0101
LG9,7200001,7250000,7225089,3378,1758,15.1525,22.34,-0.1917,-0.0299,-0.0243
LG9,7250001,7300000,7272805,3437,1849,13.0413,30.9163,-0.4066,-0.0657,-0.0542
LG9,7300001,7350000,7323381,3015,1527,10.26,18.31,-0.2818,-0.0352,-0.0288
LG9,7350001,7400000,7375528,2990,1610,8.9688,8.9938,-0.0014,-0.0001,-0.0001
LG9,7400001,7450000,7423976,3240,1825,32.5787,26.6787,0.0996,0.0245,0.0203
LG9,7450001,7500000,7476053,3758,2139,71.2763,50.7262,0.1684,0.0621,0.0443
LG9,7500001,7550000,7526144,3588,1711,15.2763,12.9887,0.0809,0.0106,0.009
LG9,7550001,7600000,7574845,4145,2324,74.6437,55.8062,0.1444,0.0551,0.039
LG9,7600001,7650000,7626237,4081,2004,25.6375,22.225,0.0713,0.0102,0.009
LG9,7650001,7700000,7674951,4057,2162,20.9825,45.795,-0.3716,-0.0946,-0.0702
LG9,7700001,7750000,7723765,3704,2049,19.0963,18.2713,0.0221,0.003,0.0025
LG9,7750001,7800000,7775422,3092,1679,18.5138,21.1638,-0.0668,-0.0107,-0.0091
LG9,7800001,7850000,7821202,2909,1525,22.025,16.2375,0.1513,0.0224,0.0185
LG9,7850001,7900000,7875836,2724,1417,17.6025,23.965,-0.1531,-0.0316,-0.0251
LG9,7900001,7950000,7924361,4268,2038,32.5275,43.59,-0.1453,-0.0587,-0.0423
LG9,7950001,8000000,7975194,4261,2088,31.1938,24.1437,0.1274,0.0189,0.0157
LG9,8000001,8050000,8025848,3257,1743,18.31,16.26,0.0593,0.0112,0.008
LG9,8050001,8100000,8074520,3272,1690,22.195,23.67,-0.0322,-0.0081,-0.0062
LG9,8100001,8150000,8126581,2331,1204,38.4125,12.6625,0.5042,0.1429,0.1205
LG9,8150001,8200000,8176875,3620,1844,22.4325,23.7075,-0.0276,-0.0048,-0.0038
LG9,8200001,8250000,8223874,3540,1642,8.6288,25.7413,-0.4979,-0.069,-0.0515
LG9,8250001,8300000,8276979,3764,1894,16.1962,14.1337,0.068,0.006,0.0051
LG9,8300001,8350000,8323251,3826,1880,8.0262,10.9763,-0.1552,-0.0111,-0.0098
LG9,8350001,8400000,8375859,3604,1756,34.2888,32.3137,0.0297,0.0072,0.0059
LG9,8400001,8450000,8423477,4548,2266,28.5438,34.8688,-0.0997,-0.0199,-0.0158
LG9,8450001,8500000,8476581,3847,1867,30.9288,18.1037,0.2616,0.0518,0.0405
LG9,8500001,8550000,8521641,2601,1368,15.16,22.7975,-0.2012,-0.0329,-0.0281
LG9,8550001,8600000,8574768,3558,2050,14.7588,22.4213,-0.2061,-0.0296,-0.024
LG9,8600001,8650000,8624712,3294,2008,42.1775,39.64,0.031,0.0084,0.0056
LG9,8650001,8700000,8673745,3095,1596,38.6025,23.6525,0.2401,0.0548,0.0468
LG9,8700001,8750000,8728862,2472,924,20.7262,13.2512,0.22,0.0668,0.0537
LG9,8750001,8800000,8777185,4023,1772,10.0812,12.2813,-0.0984,-0.0085,-0.0076
LG9,8800001,8850000,8824786,4117,2004,20.2963,23.7087,-0.0775,-0.011,-0.0093
LG9,8850001,8900000,8874671,3652,1779,26.7775,19.1025,0.1673,0.026,0.0213
LG9,8900001,8950000,8917149,3522,2051,23.655,20.0925,0.0814,0.0156,0.0133
LG9,8950001,9000000,8977302,3552,1674,20.5712,15.1588,0.1515,0.018,0.016
LG9,9000001,9050000,9025722,4290,2225,42.1425,43.0175,-0.0103,-0.0033,-0.0024
LG9,9050001,9100000,9076547,4312,2213,61.1563,44.8438,0.1539,0.0875,0.0638
LG9,9100001,9150000,9126397,3333,1713,27.5575,29.895,-0.0407,-0.0088,-0.0073
LG9,9150001,9200000,9175218,4382,2435,74.995,58.3075,0.1252,0.1025,0.0761
LG9,9200001,9250000,9224907,3862,1967,36.9075,28.3825,0.1306,0.0385,0.0302
LG9,9250001,9300000,9276241,3543,1701,15.315,12.8775,0.0865,0.0111,0.0091
LG9,9300001,9350000,9321820,4121,1969,70.8325,27.17,0.4455,0.2169,0.1351
LG9,9350001,9400000,9371664,4080,1820,40.9588,31.3962,0.1322,0.046,0.0352
LG9,9400001,9450000,9424741,4276,2149,76.5687,34.8062,0.375,0.2023,0.1458
LG9,9450001,9500000,9476430,4073,1927,28.875,35.8,-0.1071,-0.0296,-0.0232
LG9,9500001,9550000,9526427,4183,1976,10.3837,17.9087,-0.266,-0.0286,-0.0215
LG9,9550001,9600000,9572598,3967,1817,25.8425,39.2175,-0.2056,-0.0612,-0.0484
LG9,9600001,9650000,9624089,3903,1588,22.835,36.135,-0.2255,-0.0568,-0.0459
LG9,9650001,9700000,9674861,4489,2147,22.3438,19.8062,0.0602,0.0052,0.0047
LG9,9700001,9750000,9724799,4363,2022,48.8225,23.8225,0.3441,0.0999,0.0681
LG9,9750001,9800000,9771089,3891,2042,48.75,23.55,0.3485,0.1153,0.0718
LG9,9800001,9850000,9823983,4222,2251,28.7638,24.1638,0.0869,0.0162,0.0134
LG9,9850001,9900000,9876796,4580,2284,50.9663,57.2662,-0.0582,-0.027,-0.0201
LG9,9900001,9950000,9923193,4882,2361,101.125,48.2875,0.3536,0.151,0.1145
LG9,9950001,10000000,9976253,4518,2374,67.3863,89.4737,-0.1408,-0.071,-0.053
LG9,10000001,10050000,10025397,4662,2218,30.73,93.9925,-0.5072,-0.1983,-0.1446
LG9,10050001,10100000,10072868,3720,1774,26.3413,24.0162,0.0462,0.0084,0.0072
LG9,10100001,10150000,10122094,5019,2398,70.285,19.435,0.5668,0.1923,0.1483
LG9,10150001,10200000,10177507,3545,1511,60.4075,27.9325,0.3676,0.1372,0.1109
LG9,10200001,10250000,10225261,5639,2829,75.6762,62.9638,0.0917,0.0482,0.0367
LG9,10250001,10300000,10275226,4018,2086,57.005,52.7175,0.0391,0.0214,0.0152
LG9,10300001,10350000,10332470,3450,1656,36.67,22.745,0.2344,0.0778,0.0586
LG9,10350001,10400000,10374338,5565,2509,65.6563,65.8938,-0.0018,-0.0006,-0.0005
LG9,10400001,10450000,10427235,5629,2727,30.49,36.8275,-0.0941,-0.0244,-0.0184
LG9,10450001,10500000,10477731,5597,2489,43.085,43.8475,-0.0088,-0.0031,-0.0024
LG9,10500001,10550000,10524178,5029,2319,71.3025,83.24,-0.0772,-0.1064,-0.0528
LG9,10550001,10600000,10574884,4456,2240,45.47,43.97,0.0168,0.0119,0.0078
