scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG3,13350001,13400000,13372221,3642,1816,29.7938,32.1844,-0.0386,-0.0087,-0.0068
LG3,13400001,13450000,13430709,2658,1297,12.275,15.9969,-0.1316,-0.0195,-0.016
LG3,13450001,13500000,13477328,3805,1861,40.8516,22.8703,0.2822,0.0749,0.0557
LG3,13500001,13550000,13521612,4665,2587,102.0641,37.4734,0.4629,0.1943,0.1246
LG3,13550001,13600000,13570586,2247,1188,43.9406,18.7437,0.402,0.1967,0.1329
LG3,13600001,13650000,13627784,4245,2230,51.9422,35.7266,0.185,0.0636,0.0467
LG3,13650001,13700000,13675393,4250,2387,64.0375,36.0469,0.2797,0.0869,0.0602
LG3,13700001,13750000,13726878,3440,1662,23.9031,29.8031,-0.1099,-0.0232,-0.0192
LG3,13750001,13800000,13777947,3681,2244,40.5234,37.7266,0.0357,0.0207,0.0132
LG3,13800001,13850000,13830004,2050,1039,15.1453,19.9766,-0.1376,-0.067,-0.0352
LG3,13850001,13900000,13867537,1444,744,19.9563,16.7563,0.0872,0.0465,0.0343
LG3,13900001,13950000,13919698,2412,1207,31.7563,29.5688,0.0357,0.034,0.0216
LG3,13950001,14000000,13974647,4001,2130,54.1766,60.1109,-0.0519,-0.0745,-0.0297
LG3,14000001,14050000,14021759,3893,2027,54.1156,45.6094,0.0853,0.0585,0.0427
LG3,14050001,14100000,14076379,3024,1252,30.5813,43.6469,-0.176,-0.0556,-0.0412
LG3,14100001,14150000,14123677,2662,1146,47.3547,65.7828,-0.1629,-0.0954,-0.0618
LG3,14150001,14200000,14178938,2460,1196,32.8906,35.1156,-0.0327,-0.014,-0.0103
LG3,14200001,14250000,14223172,4266,1933,58.05,50.8219,0.0664,0.04,0.0223
LG3,14250001,14300000,14273196,2914,1412,30.3328,42.5297,-0.1674,-0.211,-0.0434
LG3,14300001,14350000,14323452,3033,1495,74.2438,34.1937,0.3693,0.1654,0.1012
LG3,14350001,14400000,14371236,3654,1877,35.9656,24.9438,0.181,0.0514,0.0391
LG3,14400001,14450000,14429478,3006,1637,25.6484,24.1141,0.0308,0.009,0.0062
LG3,14450001,14500000,14477318,2675,1335,40.6156,21.2781,0.3124,0.0933,0.071
LG3,14500001,14550000,14519595,2784,1308,34.7266,21.6453,0.2321,0.0554,0.0398
LG3,14550001,14600000,14576784,3311,1776,5.4391,14.2828,-0.4484,-0.0329,-0.0283
LG3,14600001,14650000,14619531,2568,1290,26.4375,18.9531,0.1649,0.0267,0.0227
LG3,14650001,14700000,14677588,4005,2163,98.0344,21.5062,0.6402,0.2763,0.1846
LG3,14700001,14750000,14723162,3688,1981,20.6094,19.4937,0.0278,0.0046,0.0035
LG3,14750001,14800000,14774748,3221,1727,30.4859,10.8672,0.4744,0.0646,0.0527
LG3,14800001,14850000,14825029,2389,1131,4.6109,4.4734,0.0151,0.0008,0.0007
LG3,14850001,14900000,14876270,3704,1900,36.8484,22.1547,0.249,0.0441,0.0363
LG3,14900001,14950000,14922747,2795,1368,34.7016,10.0797,0.5498,0.0976,0.0716
LG3,14950001,15000000,14972193,2090,1104,8.4797,10.1516,-0.0897,-0.0169,-0.0102
LG3,15000001,15050000,15024149,3661,1772,25.2563,18.1781,0.163,0.0385,0.0266
LG3,15050001,15100000,15076430,3717,1881,27.4188,22.2594,0.1039,0.0217,0.0172
LG3,15100001,15150000,15123719,3748,1988,22.6438,26.1375,-0.0716,-0.0139,-0.0106
LG3,15150001,15200000,15173149,3612,1955,30.0766,25.3391,0.0855,0.015,0.0124
LG3,15200001,15250000,15225394,3411,1855,37.7016,31.3859,0.0914,0.0208,0.0173
LG3,15250001,15300000,15275067,3449,1661,14.1813,7.9687,0.2805,0.0211,0.0185
LG3,15300001,15350000,15324604,3435,1685,5.5078,6.3484,-0.0709,-0.0027,-0.0023
LG3,15350001,15400000,15375370,3141,1751,36.7328,47.9547,-0.1325,-0.0449,-0.0357
LG3,15400001,15450000,15414129,2071,1191,18.5016,17.7859,0.0197,0.003,0.0026
LG3,15450001,15500000,15476351,3338,1722,18.4031,26.7594,-0.185,-0.0296,-0.0246
LG3,15500001,15550000,15521000,3185,1604,21.0031,16.9094,0.108,0.0191,0.0164
LG3,15550001,15600000,15581807,2370,1401,12.2813,21.1062,-0.2643,-0.0548,-0.0412
LG3,15600001,15650000,15623980,2418,1243,16.8672,43.7609,-0.4436,-0.1029,-0.0749
LG3,15650001,15700000,15675299,2974,1434,16.8609,27.2953,-0.2363,-0.0358,-0.0257
LG3,15700001,15750000,15724448,2736,1445,11.4766,14.2016,-0.1061,-0.0132,-0.0114
LG3,15750001,15800000,15774466,4054,2147,27.1672,28.7266,-0.0279,-0.007,-0.0053
LG3,15800001,15850000,15822105,3220,1770,25.5766,36.1078,-0.1707,-0.0409,-0.0301
LG3,15850001,15900000,15874671,3711,1990,20.6062,22.6344,-0.0469,-0.0053,-0.0044
LG3,15900001,15950000,15924666,2874,1663,26.2359,21.1391,0.1076,0.018,0.0133
LG3,15950001,16000000,15977529,3159,1756,53.85,15.4594,0.5539,0.1399,0.1014
LG3,16000001,16050000,16026674,3435,1777,9.8375,12.225,-0.1082,-0.0105,-0.0087
LG3,16050001,16100000,16075409,3265,1673,18.3781,18.7313,-0.0095,-0.0012,-0.0011
LG3,16100001,16150000,16128124,3271,1707,7.0672,7.5422,-0.0325,-0.0015,-0.0013
LG3,16150001,16200000,16173555,3682,1893,46.4016,10.8516,0.6209,0.1101,0.088
LG3,16200001,16250000,16223781,3293,1939,36.7875,12.5719,0.4906,0.0831,0.0693
LG3,16250001,16300000,16274916,3933,2062,24.4891,19.1078,0.1234,0.0193,0.0152
LG3,16300001,16350000,16325582,3267,1682,80.1703,38.1391,0.3553,0.1542,0.1123
LG3,16350001,16400000,16374690,4470,2252,42.7297,52.0422,-0.0983,-0.051,-0.0301
LG3,16400001,16450000,16423663,3461,1906,60.0172,42.0266,0.1763,0.1244,0.0602
LG3,16450001,16500000,16473945,3536,2114,30.1203,17.0703,0.2765,0.0576,0.0449
LG3,16500001,16550000,16519538,2296,1124,13.2109,25.6859,-0.3207,-0.0955,-0.0757
LG3,16550001,16600000,16575651,3737,1897,21.1094,19.8844,0.0299,0.0078,0.0053
LG3,16600001,16650000,16627602,3190,1735,18.8406,19.8188,-0.0253,-0.0036,-0.0028
LG3,16650001,16700000,16675038,2775,1447,11.5344,18.1281,-0.2223,-0.0251,-0.0205
LG3,16700001,16750000,16725916,3643,1860,21.0734,20.0266,0.0255,0.0052,0.0038
LG3,16750001,16800000,16774665,3205,1682,14.1609,13.2859,0.0319,0.0041,0.0034
LG3,16800001,16850000,16823843,3278,1956,16.975,10.9375,0.2163,0.0303,0.025
LG3,16850001,16900000,16875245,3209,1825,15.7312,9.8063,0.232,0.0238,0.0202
LG3,16900001,16950000,16925458,3003,1623,16.6719,9.1344,0.2921,0.0288,0.0242
LG3,16950001,17000000,16974847,3322,1886,31.6656,17.9625,0.2761,0.0541,0.0382
LG3,17000001,17050000,17026257,2672,1293,9.8172,29.7578,-0.5039,-0.1142,-0.0812
LG3,17050001,17100000,17069399,2813,1476,19.3062,16.4812,0.0789,0.0181,0.0138
LG3,17100001,17150000,17124363,3293,1909,35.9203,14.1359,0.4352,0.0743,0.0599
LG3,17150001,17200000,17173597,3240,1732,19.2047,23.3297,-0.097,-0.0186,-0.0138
LG3,17200001,17250000,17227052,3360,1483,54.4375,22.7031,0.4114,0.1288,0.0867
LG3,17250001,17300000,17275452,4125,2200,76.7766,25.7047,0.4984,0.1967,0.1301
LG3,17300001,17350000,17323416,3463,1691,41.9109,13.7297,0.5065,0.1044,0.0822
LG3,17350001,17400000,17374123,3129,1748,14.9047,6.1609,0.4151,0.0284,0.0245
LG3,17400001,17450000,17424167,2623,1470,7.2188,4.4531,0.2369,0.0107,0.0091
LG3,17450001,17500000,17472943,3215,1713,35.1297,23.3297,0.2018,0.0471,0.0369
LG3,17500001,17550000,17528854,2444,1483,30.5891,36.2297,-0.0844,-0.034,-0.0215
LG3,17550001,17600000,17573727,3619,2225,26.7016,56.9734,-0.3618,-0.0809,-0.0616
LG3,17600001,17650000,17622701,3349,1809,29.3313,24.4375,0.091,0.0229,0.0176
LG3,17650001,17700000,17676551,2477,1409,21.0625,28.2906,-0.1465,-0.0318,-0.0243
LG3,17700001,17750000,17724476,3335,1909,13.8531,10.7656,0.1254,0.0131,0.0108
LG3,17750001,17800000,17778974,2664,1400,19.0594,10.5125,0.289,0.0612,0.047
LG3,17800001,17850000,17823487,2614,1405,30.6062,8.4281,0.5682,0.0886,0.0625
LG3,17850001,17900000,17874067,2630,1484,9.6781,6.3594,0.2069,0.0121,0.0106
LG3,17900001,17950000,17920039,2690,1337,14.4297,16.0016,-0.0517,-0.0065,-0.0055
LG3,17950001,18000000,17975369,3565,1843,27.4891,15.1984,0.2879,0.0441,0.034
LG3,18000001,18050000,18025177,3451,1763,11.9594,25.8375,-0.3672,-0.0437,-0.0358
LG3,18050001,18100000,18076208,3133,1679,38.9813,30.3219,0.1249,0.0261,0.0207
LG3,18100001,18150000,18124828,2727,1671,29.5641,29.2703,0.005,0.0012,0.0009
LG3,18150001,18200000,18182328,1094,533,5.9719,8.125,-0.1527,-0.0214,-0.0168
LG3,18200001,18250000,18223520,3110,1792,9.4875,48.725,-0.674,-0.1125,-0.0861
LG3,18250001,18300000,18274435,2891,1683,29.6547,12.2297,0.416,0.0606,0.0518
LG3,18300001,18350000,18321840,3122,1752,34.6641,40.0172,-0.0717,-0.0196,-0.0143
LG3,18350001,18400000,18381203,2723,1507,26.5703,13.5891,0.3232,0.0589,0.0471
LG3,18400001,18450000,18425044,3033,1774,23.0,31.1937,-0.1512,-0.0294,-0.0229
LG3,18450001,18500000,18474390,2903,1677,7.1578,10.5547,-0.1918,-0.0159,-0.0131
LG3,18500001,18550000,18525907,3595,1976,32.4953,20.1078,0.2355,0.0467,0.0398
LG3,18550001,18600000,18575055,3251,1832,8.9203,11.1516,-0.1112,-0.0099,-0.0085
LG3,18600001,18650000,18623404,2906,1622,12.4203,31.4828,-0.4342,-0.0793,-0.0584
LG3,18650001,18700000,18675404,2906,1497,5.3578,12.6766,-0.4058,-0.0341,-0.0272
LG3,18700001,18750000,18719322,2706,1709,21.8172,39.3609,-0.2868,-0.0894,-0.0672
LG3,18750001,18800000,18775154,3051,1767,11.5,14.6063,-0.119,-0.0115,-0.0099
LG3,18800001,18850000,18824489,3062,1756,7.3516,17.0203,-0.3967,-0.0439,-0.0365
LG3,18850001,18900000,18875521,2933,1628,8.9234,8.3734,0.0318,0.0026,0.0022
LG3,18900001,18950000,18924496,2743,1558,11.2813,12.0156,-0.0315,-0.003,-0.0023
LG3,18950001,19000000,18974441,3020,1506,10.4766,14.5203,-0.1618,-0.0171,-0.0145
LG3,19000001,19050000,19024329,2819,1472,7.9422,19.5797,-0.4228,-0.0517,-0.0416
LG3,19050001,19100000,19072799,3221,1870,48.9484,34.1891,0.1775,0.0396,0.0323
LG3,19100001,19150000,19124845,2843,1495,14.0578,8.7172,0.2345,0.0235,0.0181
LG3,19150001,19200000,19177630,3132,1728,26.9313,37.6187,-0.1656,-0.0393,-0.0317
LG3,19200001,19250000,19226293,2791,1469,15.6078,30.9172,-0.3291,-0.0536,-0.0386
LG3,19250001,19300000,19271838,1991,1132,7.0438,4.9281,0.1767,0.0109,0.0097
LG3,19300001,19350000,19323984,2498,1372,1.3313,2.2656,-0.2598,-0.0042,-0.0037
LG3,19350001,19400000,19372921,2751,1458,4.1531,1.95,0.361,0.0093,0.0087
LG3,19400001,19450000,19423679,3099,1640,22.4266,11.2641,0.3313,0.0385,0.0333
LG3,19450001,19500000,19472274,2368,1266,2.9359,4.5109,-0.2115,-0.0067,-0.0062
LG3,19500001,19550000,19525931,2747,1517,7.8937,24.1625,-0.5075,-0.0761,-0.059
LG3,19550001,19600000,19575418,2768,1386,4.6328,12.5953,-0.4622,-0.0345,-0.0298
LG3,19600001,19650000,19627391,2849,1539,6.2703,7.2891,-0.0751,-0.0049,-0.0045
LG3,19650001,19700000,19676452,2515,1427,17.2953,12.0703,0.1779,0.0241,0.0192
LG3,19700001,19750000,19724655,2480,1327,6.7141,10.5016,-0.22,-0.0203,-0.0152
LG3,19750001,19800000,19775222,2970,1546,9.4344,7.55,0.1109,0.0065,0.0055
LG3,19800001,19850000,19826182,2647,1257,6.4297,6.6422,-0.0163,-0.001,-0.0008
LG3,19850001,19900000,19875339,2934,1372,13.1281,14.9469,-0.0648,-0.0056,-0.0047
LG3,19900001,19950000,19923219,1735,942,16.2531,14.3344,0.0627,0.01,0.0076
LG3,19950001,20000000,19973855,2819,1574,19.0328,14.3859,0.139,0.0161,0.0126
LG3,20000001,20050000,20025322,2891,1614,11.4781,27.8187,-0.4158,-0.0824,-0.0579
LG3,20050001,20100000,20077318,2514,1426,9.3359,11.1078,-0.0867,-0.0129,-0.0094
LG3,20100001,20150000,20125018,2507,1417,6.2156,6.2094,0.0005,0.0,0.0
LG3,20150001,20200000,20176068,2058,1086,4.3031,5.8406,-0.1516,-0.0096,-0.0087
LG3,20200001,20250000,20225750,2525,1464,5.4922,5.7203,-0.0203,-0.0011,-0.0011
LG3,20250001,20300000,20276646,2532,1394,5.1953,5.6047,-0.0379,-0.0019,-0.0018
LG3,20300001,20350000,20325272,2571,1403,7.5391,10.2297,-0.1514,-0.0094,-0.0088
LG3,20350001,20400000,20374115,2628,1384,7.2219,7.9563,-0.0484,-0.0028,-0.0026
LG3,20400001,20450000,20423640,2424,1301,7.25,11.7656,-0.2375,-0.019,-0.0169
LG3,20450001,20500000,20465535,1747,947,2.9188,13.9062,-0.653,-0.0523,-0.0474
LG3,20500001,20550000,20532419,1298,784,11.0328,5.6641,0.3215,0.0334,0.0282
LG3,20550001,20600000,20574041,2304,1311,2.6594,3.7625,-0.1718,-0.0044,-0.004
LG3,20600001,20650000,20622873,2498,1450,7.4641,8.5297,-0.0666,-0.0045,-0.0036
LG3,20650001,20700000,20672356,1881,1073,5.8156,5.05,0.0705,0.0051,0.0045
LG3,20700001,20750000,20725491,1981,1130,3.3062,2.3062,0.1782,0.0068,0.0063
LG3,20750001,20800000,20769229,1656,941,4.6844,4.3094,0.0417,0.003,0.0027
LG4,1,50000,29458,2123,1106,11.9906,15.8,-0.1371,-0.0226,-0.0191
LG4,50001,100000,74768,2432,1378,5.9672,6.2516,-0.0233,-0.0015,-0.0013
LG4,100001,150000,126684,2850,1637,8.1609,9.5828,-0.0801,-0.0059,-0.0053
LG4,150001,200000,174905,2809,1680,22.8172,17.3766,0.1354,0.0181,0.0162
LG4,200001,250000,221266,2534,1210,8.8484,4.6422,0.3118,0.0281,0.0242
LG4,250001,300000,272652,2497,1287,13.1609,6.8828,0.3132,0.0411,0.036
